"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-6859-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6860","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6862-1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6862-2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6864","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6866","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-6867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6868","0","0","2","0","0","0","0","1","3","0","4","0","9","4","0","2","0","0","0","0","0","0","1","0","2","0","0","2","0","1","0","3","0","4","0"
"hsa-mir-6869","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"hsa-mir-6870","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","2","1","0","0"
"hsa-mir-6871","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0"
"hsa-mir-6872","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
