"","TCGA-HU-A4GH-11A-11R-A360-13","TCGA-CG-5721-11A-01R-1602-13","TCGA-IP-7968-11A-01R-2203-13","TCGA-HU-A4GN-11A-12R-A252-13","TCGA-HU-A4G3-11A-11R-A24L-13","TCGA-FP-7735-11A-01R-2055-13","TCGA-FP-7829-11A-01R-2055-13","TCGA-HU-8238-11A-01R-2343-13","TCGA-CG-5720-11A-01R-1602-13","TCGA-IN-7806-11A-01R-2055-13","TCGA-HU-A4HB-11A-11R-A252-13","TCGA-BR-7715-11A-01R-2055-13","TCGA-BR-7703-11A-01R-2055-13","TCGA-BR-6802-11A-01R-1884-13","TCGA-IN-AB1V-11A-11R-A415-13","TCGA-BR-7851-11A-01R-2203-13","TCGA-BR-7717-11A-01R-2055-13","TCGA-BR-6457-11A-01R-1802-13","TCGA-HU-A4GH-11X-11R-A24L-13","TCGA-CG-5734-11A-01R-1602-13","TCGA-IN-8462-11A-01R-2343-13","TCGA-BR-6453-11A-01R-1802-13","TCGA-IN-8663-11A-01R-2402-13","TCGA-CG-5725-11A-01R-1602-13","TCGA-HU-A4GC-11A-11R-A252-13","TCGA-BR-6454-11A-01R-1802-13","TCGA-CG-5720-01A-11R-1602-13","TCGA-FP-7735-01A-11R-2055-13","TCGA-HU-8238-01A-11R-2343-13","TCGA-BR-7703-01A-11R-2055-13","TCGA-IP-7968-01A-11R-2203-13","TCGA-CG-5725-01A-11R-1602-13","TCGA-HU-A4GN-01A-11R-A252-13","TCGA-HU-A4HB-01A-12R-A252-13","TCGA-BR-6453-01A-11R-1802-13","TCGA-BR-6802-01A-11R-1884-13","TCGA-IN-8462-01A-11R-2343-13","TCGA-BR-7715-01A-11R-2055-13","TCGA-IN-7806-01A-11R-2055-13","TCGA-HU-A4GH-01A-11R-A24L-13","TCGA-CG-5734-01A-11R-1602-13","TCGA-IN-AB1V-01A-21R-A415-13","TCGA-BR-7851-01A-11R-2203-13","TCGA-BR-6454-01A-11R-1802-13","TCGA-BR-6457-01A-21R-1802-13","TCGA-FP-7829-01A-11R-2055-13","TCGA-HU-A4G3-01A-11R-A24L-13","TCGA-CG-5721-01A-11R-1602-13","TCGA-HU-A4GC-01A-12R-A252-13","TCGA-IN-8663-01A-11R-2402-13","TCGA-BR-7717-01A-11R-2055-13"
"hsa-mir-133a-2","1213","196","87","1167","1504","721","540","38","159","128","1222","55","13","486","622","41","248","500","1055","216","89","866","364","4638","1560","972","28","56","12","21","3","14","11","44","40","89","62","94","187","10","61","259","70","43","462","3","50","189","39","38","44"
"hsa-mir-133b","168","70","28","251","151","321","208","19","51","80","225","27","7","279","176","18","152","151","117","77","41","394","125","1628","270","447","12","31","4","16","0","7","4","7","15","47","25","40","96","1","38","69","27","11","178","3","3","125","4","19","25"
"hsa-mir-134","284","817","774","641","268","368","304","242","796","233","360","342","225","2128","597","249","364","846","323","810","245","1307","782","1625","600","806","1521","1120","282","559","597","1264","744","405","3906","1487","398","1657","892","82","1706","819","466","955","2162","1284","296","2697","435","1023","545"
"hsa-mir-1343","1","6","0","1","2","0","0","3","4","0","0","0","0","0","0","1","0","3","0","3","2","1","1","3","0","2","5","3","1","0","1","11","1","1","1","4","3","2","0","6","10","2","0","2","5","0","0","10","3","2","0"
"hsa-mir-135a-1","0","21","5","1","0","4","0","5","20","1","1","3","2","79","2","0","4","5","1","11","1","10","1","7","1","11","1","8","2","4","0","25","0","29","7","6","3","5","0","0","24","51","0","134","7","0","4","3","3","0","1"
"hsa-mir-135a-2","1","17","5","4","0","2","1","3","19","0","1","3","5","88","1","1","0","4","2","12","1","6","0","17","2","12","0","5","2","1","1","5","0","28","5","4","1","5","0","0","22","63","0","130","4","0","3","0","5","0","0"
"hsa-mir-135b","1","51","31","2","1","2","1","31","71","24","0","10","4","126","27","10","1","44","1","53","13","39","34","5","0","57","176","348","49","116","132","7","334","104","82","822","116","319","325","209","325","208","36","771","59","331","131","126","29","355","175"
"hsa-mir-136","38","388","231","86","39","27","32","228","240","20","24","45","30","339","169","143","43","130","35","237","129","174","221","309","53","147","127","44","80","72","79","149","82","45","366","167","113","108","67","20","247","272","86","118","190","52","57","254","71","134","35"
"hsa-mir-137","13","0","1","6","13","3","4","1","4","0","6","0","1","7","1","2","1","2","5","0","0","1","1","7","10","6","0","1","0","0","0","0","0","1","1","1","1","0","0","0","2","0","1","0","4","0","1","0","0","0","1"
"hsa-mir-138-1","1","9","0","0","0","2","0","3","3","0","1","3","0","4","1","3","2","5","2","10","2","5","1","0","3","8","1","10","0","2","1","1","0","16","4","1","4","0","2","0","10","3","4","5","7","0","1","8","2","0","0"
"hsa-mir-138-2","0","5","3","0","1","0","2","2","3","0","0","7","0","5","0","5","0","6","2","0","0","6","1","1","0","9","0","4","0","5","2","1","3","7","10","3","1","1","3","1","5","3","2","1","4","0","0","4","0","0","0"
"hsa-mir-139","1320","518","390","652","984","963","513","182","379","430","852","251","223","627","1477","206","407","400","978","711","257","572","1473","3132","777","639","182","257","76","132","44","83","63","153","584","81","211","212","502","48","250","627","92","117","546","49","94","159","117","134","96"
"hsa-mir-140","12511","3528","2710","4750","4292","3963","5217","2301","3105","2473","4601","6278","3022","8239","9147","3751","6249","2459","8954","4163","1348","4898","7919","6346","5060","4798","3896","6409","1619","4897","1212","1159","2720","3775","8337","2313","3297","4886","7446","1587","3135","6574","1885","4654","4497","3261","1931","2821","2617","1943","2694"
"hsa-mir-141","123","8849","1644","143","14","18","21","4289","6433","871","20","1764","2784","16376","2514","1927","900","6370","55","9420","1934","4209","3277","529","20","2670","9227","5030","6720","5064","2474","4940","5546","5695","6140","6522","8478","1971","8273","8762","11165","9186","2299","23474","3236","5922","5890","8724","8861","8779","1716"
"hsa-mir-142","427","39324","2448","338","358","91","63","10159","24446","194","199","2556","1574","15703","2612","7786","1593","20355","642","12115","2701","13411","1558","7689","307","16271","20613","2412","5907","4723","6321","5494","9506","20097","47619","55415","4474","811","1252","3250","54115","5384","8013","78630","12894","1508","3666","55139","4314","3950","781"
"hsa-mir-143","3501520","567689","1347780","2166550","2588436","7648104","9021492","580329","426934","2535979","1863431","2345636","586134","3241721","2436296","687648","3682504","540765","2607107","511493","682798","1343482","4243859","9336240","2512026","2344299","969774","2058650","515354","1100498","384575","187424","178576","284239","810482","460631","1295098","3498565","4923462","77103","399642","1049682","713792","480478","2088654","862874","240441","1287185","187094","1087383","1389304"
"hsa-mir-144","867","231","202","300","327","83","329","672","292","670","134","756","183","3142","866","967","1258","1310","752","302","380","644","1050","436","256","1844","588","1093","180","352","865","356","106","150","640","920","248","485","158","266","777","1447","73","167","347","255","134","239","99","41","469"
"hsa-mir-145","100966","58962","14256","114486","105067","59590","54793","8050","32660","13116","112531","9734","2503","74075","83528","8972","23838","56084","106413","59128","9399","122324","32818","519064","158792","119331","21264","9027","3280","5173","3059","7143","4266","9860","17272","25939","11689","14286","15758","3014","26921","41603","9055","27466","95181","3875","9799","85888","9991","9446","6385"
"hsa-mir-1468","37","32","12","12","18","34","21","16","39","5","13","17","19","128","15","22","25","11","27","19","4","36","23","90","19","33","19","22","10","35","3","12","12","34","62","10","12","20","115","10","14","25","7","17","14","10","16","10","9","5","22"
"hsa-mir-1469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-146a","69","2845","236","21","21","51","47","541","2083","55","24","2449","719","1137","210","500","872","822","73","638","120","1049","212","250","37","1702","626","820","591","2102","316","120","547","2529","1797","2924","453","297","703","3698","2110","699","170","2268","476","183","278","1108","268","124","200"
"hsa-mir-146b","399","1794","594","162","138","89","146","667","1725","152","145","1570","464","851","506","1029","858","1169","297","1072","400","1130","1279","646","151","1240","1336","3290","1485","1372","2011","523","3134","3060","8058","3462","1018","4105","1921","1005","2715","1488","1361","4740","1860","3172","1351","5881","1345","2039","569"
"hsa-mir-1470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-147a","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-147b","0","23","0","0","0","0","1","11","16","0","0","1","0","15","0","7","1","19","0","66","0","13","0","4","0","3","19","2","9","24","0","0","7","18","13","125","3","0","5","4","71","8","15","42","5","4","7","48","4","33","2"
"hsa-mir-148a","22444","1129645","109622","13970","21194","13098","16492","254496","697712","17601","14810","198484","283443","682598","70522","169400","153212","804407","31648","394185","33460","311683","61328","93445","18393","323784","333874","220568","92579","142468","35850","190898","75828","262217","242768","341496","100825","179714","49087","129961","812519","161787","68440","323101","149184","198809","211493","177081","75291","12634","26728"
"hsa-mir-148b","157","1042","205","148","155","115","204","378","775","87","97","257","320","1239","331","257","200","845","158","642","128","529","305","932","153","505","710","645","354","241","395","957","337","429","686","893","737","468","229","552","1162","872","279","1415","569","485","478","622","296","968","148"
"hsa-mir-149","153","151","83","219","120","75","35","39","110","80","131","10","5","571","276","11","17","93","158","238","176","307","275","657","182","300","48","47","10","29","18","576","42","106","72","51","49","92","22","5","198","191","24","60","100","34","12","175","58","77","20"
"hsa-mir-150","634","10201","738","161","248","388","233","1297","8859","335","335","6151","950","4700","1825","1274","3388","3629","573","3643","593","6892","1284","4248","252","6776","5709","2730","2166","1411","349","699","1416","7409","21126","4826","1554","751","2122","509","8176","3948","1247","11676","5698","349","625","10220","1373","512","1134"
"hsa-mir-151a","3878","4408","4009","2607","3176","8001","8788","4477","4704","4198","2619","7220","5601","14815","6053","3974","6237","4107","3154","5431","2760","6672","8860","11039","3009","5344","9958","27655","4236","10437","10155","8068","4941","5609","20076","6334","10703","24406","21887","7150","6809","10022","4371","10757","7672","17828","4277","4615","5323","23963","8514"
"hsa-mir-151b","3","21","1","1","2","5","6","4","9","2","0","7","6","20","7","0","7","7","6","11","2","12","3","12","1","6","8","8","0","6","5","0","0","3","21","10","6","5","7","4","7","10","0","19","7","3","7","11","5","4","2"
"hsa-mir-152","930","871","625","589","778","1901","2354","490","646","743","517","861","538","1947","1297","372","1678","737","836","743","430","909","1347","3829","824","1057","645","1197","398","749","338","1120","289","348","1834","692","634","2662","1433","234","873","1043","315","691","1011","1061","306","963","273","792","840"
"hsa-mir-153-1","1","86","1","2","2","3","2","8","45","1","0","6","9","115","1","4","2","17","1","77","0","26","0","15","3","25","23","0","8","2","2","0","7","10","8","14","4","10","5","5","68","5","0","25","10","2","9","58","10","2","1"
"hsa-mir-153-2","16","884","19","7","28","2","1","172","618","3","10","17","83","1211","37","119","15","416","26","407","15","392","10","125","25","225","275","8","219","25","69","13","75","159","143","237","53","50","30","55","918","68","24","565","165","19","172","373","86","19","4"
"hsa-mir-1537","0","2","0","0","0","0","0","0","0","0","0","0","0","3","1","3","0","0","0","1","0","2","0","2","0","2","1","0","2","0","0","4","5","0","3","7","0","1","0","0","3","1","1","10","1","0","2","7","0","1","0"
"hsa-mir-1538","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","3","0","0","1","0","1","1","0","1","0","0","0","1","0","1","0","0","0","0","2","1","1","0","3","0","0","2","0","0","1"
"hsa-mir-1539","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-154","16","62","23","17","7","13","4","17","40","8","6","14","8","82","18","10","22","19","12","68","12","69","25","58","8","39","21","17","18","25","15","13","21","14","68","32","26","27","14","6","60","37","12","28","42","21","18","61","30","19","10"
"hsa-mir-155","182","3437","473","135","95","178","140","1890","2953","317","144","4160","1248","6873","577","909","2712","4083","178","2315","368","4202","550","918","131","8484","4384","3020","1257","3140","1364","475","4927","6364","10940","6217","1064","818","1487","617","5403","1567","1091","7879","2703","948","857","9227","827","1310","594"
"hsa-mir-1587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-15a","404","445","165","135","231","187","193","310","430","132","99","180","201","688","329","220","168","326","272","513","161","315","528","640","169","398","548","596","280","516","208","597","474","700","994","761","531","442","293","931","880","906","207","617","402","689","257","738","429","689","267"
"hsa-mir-15b","482","656","216","237","264","718","596","454","730","759","168","934","616","1706","558","346","743","1017","330","685","286","870","536","620","203","754","1458","1633","401","1248","412","1712","605","757","2077","1953","815","1244","851","1465","1353","983","413","1418","791","1903","576","1335","441","1066","831"
"hsa-mir-16-1","334","1489","119","124","157","471","438","443","943","293","102","1046","505","3341","301","264","734","1281","257","1133","150","912","362","1143","107","1138","1236","1144","364","925","406","2066","850","971","2591","2467","583","667","722","929","2349","1144","223","2147","680","772","388","2689","389","775","564"
"hsa-mir-16-2","323","1521","126","122","168","487","430","473","1023","296","88","1014","477","3508","284","280","771","1309","216","1239","163","890","371","1202","118","1238","1280","1205","345","917","405","2095","771","1006","2656","2604","574","618","780","1044","2300","1094","233","2365","802","720","408","2791","407","753","538"
"hsa-mir-17","1572","1621","1011","778","996","721","667","1719","1706","1154","906","1229","1289","2981","2374","1370","1205","1182","1093","1509","1247","1558","3105","1733","1040","1494","3107","2479","1876","5303","1792","7637","4397","2993","6033","2332","2767","7311","3334","1624","2747","4071","1576","2422","1525","8270","2599","2605","1587","4671","2983"
"hsa-mir-181a-1","1189","1651","950","551","821","441","547","971","1595","297","514","1264","621","1861","1565","1235","1077","867","984","1410","657","1150","1795","1715","780","1069","2101","2690","1782","1252","2293","2482","1990","2651","3931","1187","5970","2731","1456","1780","1784","2678","804","4663","1916","1487","2234","2099","2586","5054","2313"
"hsa-mir-181a-2","2338","2268","1356","1595","2058","1308","1585","1550","2242","647","1458","1762","987","5046","2559","1786","1651","1861","2433","2168","1303","3628","3159","5741","2029","2914","4795","4101","2623","2662","3561","15614","2208","3663","10268","2002","6895","5514","2559","2126","2814","3099","1009","6281","4157","2192","2636","2679","3077","13927","3788"
"hsa-mir-181b-1","241","258","132","98","148","126","116","167","300","58","107","237","124","398","251","217","194","204","175","315","113","297","320","340","119","229","392","738","252","242","624","1420","299","504","577","269","1408","546","265","516","416","421","89","1304","354","226","487","385","566","1753","769"
"hsa-mir-181b-2","230","222","115","94","148","107","138","158","238","65","109","238","118","397","240","206","180","183","171","250","91","277","338","365","139","196","337","653","246","242","657","1460","279","476","546","186","1405","584","288","469","356","426","71","1096","299","188","450","306","556","1711","713"
"hsa-mir-181c","312","279","231","260","335","350","218","208","222","91","195","181","132","474","457","184","225","155","254","130","108","329","340","862","264","334","274","165","284","290","368","214","141","226","261","198","581","749","245","89","166","315","160","402","255","202","105","222","97","436","108"
"hsa-mir-181d","105","39","31","56","77","90","69","19","31","24","84","35","25","71","100","29","49","33","91","24","13","46","77","181","104","35","29","60","48","46","68","28","23","47","41","36","108","245","99","20","23","76","21","92","40","49","21","19","32","141","30"
"hsa-mir-182","2150","24623","7789","1550","1045","255","993","12630","27410","6068","906","15423","19335","111436","11809","8469","9629","29259","2458","21983","6016","43661","21418","2940","810","30842","94956","22868","18504","35368","8363","220027","55754","37534","65214","55006","25645","117390","4774","34727","44118","28801","25476","16233","37237","34264","89079","31752","25017","63716","17497"
"hsa-mir-1825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-1827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-183","332","6988","2594","403","151","99","565","4290","8518","3226","175","5110","6296","28833","5906","2718","3288","7730","447","6973","3269","13107","9314","747","173","6602","39387","9034","5049","15286","1670","197607","23727","11330","40399","38389","7342","76959","1524","12965","12363","14519","13379","4055","12619","18707","24475","10715","9620","32970","8201"
"hsa-mir-184","2","0","0","1","0","3","6","0","0","1","0","5","0","1","0","0","6","0","1","0","0","0","1","0","1","5","1","9","0","1","1","1","0","6","7","2","0","431","2","6","1","1","0","3005","1","39","2","2","0","1796","3"
"hsa-mir-185","155","137","83","46","45","46","111","130","143","63","40","141","130","188","190","109","113","106","82","169","85","133","264","150","56","118","234","302","160","232","107","131","190","171","376","284","265","223","169","350","251","339","169","265","152","297","170","239","133","276","138"
"hsa-mir-186","758","1580","291","662","663","485","436","567","1386","174","616","669","533","1525","719","387","486","1600","706","1516","184","1534","607","2432","818","1720","1067","1088","336","467","550","2092","770","887","2035","1579","735","666","675","1499","1980","1022","352","1919","1385","461","748","1067","925","895","409"
"hsa-mir-187","161","31","28","17","134","118","116","1","24","4","68","0","0","48","35","1","1","3","165","12","19","19","28","2194","111","32","1","54","1","1","0","41","6","24","2","3","12","6","1","43","7","47","11","104","23","1","3","18","206","14","0"
"hsa-mir-188","1","8","2","2","1","0","0","18","19","2","0","10","7","36","2","2","2","5","1","17","7","8","5","19","3","11","20","74","18","15","7","49","18","15","68","35","14","13","26","20","32","19","10","55","27","47","12","80","16","9","10"
"hsa-mir-18a","20","65","7","7","4","3","5","79","74","4","11","16","19","171","21","29","21","41","12","58","12","46","40","19","12","67","152","63","66","140","84","144","327","125","492","203","136","131","63","52","222","118","31","137","87","150","102","194","56","57","143"
"hsa-mir-18b","2","9","0","0","1","0","1","2","2","0","1","1","2","16","1","1","1","2","0","2","2","0","1","1","2","2","4","0","3","3","4","13","1","2","8","11","4","2","2","1","16","1","0","14","6","4","0","6","0","0","3"
"hsa-mir-1908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-1909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0"
"hsa-mir-190a","19","46","8","10","11","10","13","41","32","5","11","16","14","151","11","21","33","28","14","37","5","27","28","58","18","64","69","13","39","28","36","14","46","30","42","9","37","12","49","19","49","33","29","49","18","38","30","16","44","18","24"
"hsa-mir-190b","2","0","3","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","2","1","0","0","1","3","0","0","0","0","3","4","1","1","0","1","1","2","4","2","1","1"
"hsa-mir-191","760","2799","306","573","673","383","334","1047","2314","170","371","544","387","3436","650","627","412","4072","691","2543","265","3178","645","2232","537","1818","4255","1232","978","1511","634","2623","1745","2518","6999","5799","1180","958","987","4897","4249","2505","847","5058","2102","958","2743","2405","1212","1892","437"
"hsa-mir-1910","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","11","0","1","1","0","2","0","0","0","0","1","0","0","0","0","0","1","0","7","0"
"hsa-mir-1911","0","0","0","0","0","1","0","0","0","1","0","0","2","1","3","4","0","0","0","0","3","0","2","0","0","0","0","2","0","0","16","0","0","1","0","0","0","0","1","10","0","53","0","323","0","80","0","0","15","0","0"
"hsa-mir-1912","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1913","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-1914","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","1","0","0","0","1","1","0","1","0","1","0","0","1","0","0","0","2","0","1","0"
"hsa-mir-1915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"hsa-mir-192","5409","97476","2103","4959","519","587","587","252830","211159","323","1445","24244","41069","231139","1095","117353","10684","307565","4187","298671","383","147143","921","19509","486","33096","471126","79548","90769","107286","87306","3262","41232","129498","185207","132038","142173","27913","221493","129956","438437","113900","79454","289881","44147","145754","103921","53464","105537","1707","38849"
"hsa-mir-193a","1732","477","428","964","1515","889","1215","137","392","350","976","446","389","820","1056","310","852","480","1692","649","266","758","1599","4446","1348","871","262","988","163","431","251","391","187","363","611","634","853","1096","1087","794","299","588","247","1022","783","694","240","329","114","678","336"
"hsa-mir-193b","200","471","102","172","95","98","125","105","255","69","90","82","80","269","333","82","65","339","140","323","101","332","356","437","199","259","77","170","31","86","95","560","94","196","146","268","132","157","91","67","233","190","53","237","246","88","62","486","86","2194","138"
"hsa-mir-194-1","1979","7794","589","1667","158","168","167","45090","27609","109","404","5150","8164","50582","335","27823","2204","35713","1267","38846","88","33457","306","2496","183","7230","102616","19103","19667","38735","17199","273","8676","29637","66128","12108","32872","8026","54468","32528","36128","28644","26401","35663","12398","53062","25821","2946","22409","353","11905"
"hsa-mir-194-2","2080","9114","636","1727","182","198","194","48001","29052","112","443","5608","8910","54270","398","29529","2352","37010","1399","41346","91","34642","355","2730","211","8394","107870","20393","21809","41713","18571","296","11368","33639","66325","14124","35558","8494","56340","37444","39920","32517","29512","38827","13502","56890","29975","3621","26890","393","12609"
"hsa-mir-195","275","535","81","165","177","1093","786","135","250","217","170","484","153","1262","224","148","592","228","207","421","62","378","257","1100","199","910","349","330","116","174","35","49","51","189","1227","123","133","374","643","35","333","319","46","216","467","90","91","256","96","54","207"
"hsa-mir-196a-1","2","2","5","1","0","0","2","48","24","4","1","3","6","10","13","82","4","25","1","112","2","58","3","4","1","3","176","55","708","94","222","437","111","89","145","449","701","240","322","417","183","381","110","1218","248","112","200","770","100","818","230"
"hsa-mir-196a-2","2","7","8","0","1","0","2","66","34","4","0","3","6","8","13","77","3","33","1","123","2","61","5","4","1","2","201","57","734","89","235","472","122","104","168","521","803","189","342","488","207","493","110","1244","322","119","235","921","120","901","241"
"hsa-mir-196b","13","95","104","6","6","1","3","109","91","6","1","10","8","45","34","253","21","123","7","479","22","559","193","43","1","47","1396","17","875","1670","657","11887","2660","509","1877","3554","1948","589","185","2656","2296","482","742","3933","489","1266","335","815","1164","7783","268"
"hsa-mir-197","972","1087","180","708","808","393","354","450","1002","135","523","340","170","871","849","401","257","1619","854","1672","293","1438","611","3374","753","1133","1650","866","281","864","253","1548","965","818","1757","1741","801","1134","802","1234","1961","864","563","1510","1234","416","533","2431","972","746","387"
"hsa-mir-1972-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1972-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1976","5","31","10","4","0","0","2","19","32","4","2","26","19","37","17","10","15","37","7","24","9","46","21","12","4","27","66","17","23","27","15","26","29","36","65","58","46","17","24","50","58","31","14","48","55","33","23","83","14","31","10"
"hsa-mir-198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
"hsa-mir-199a-1","4636","3882","1605","2474","3649","2156","1790","2111","2690","652","2472","1120","698","4401","3690","2347","1702","2647","3943","3717","810","2903","3308","13261","3355","4090","4285","2233","1868","2675","2025","2559","3050","2098","10172","3532","2658","6486","3471","648","4352","3555","2343","5477","6929","2907","1295","7621","2521","3818","1667"
"hsa-mir-199a-2","6472","6928","2734","3565","5339","3588","3192","3919","4735","1124","3640","2070","1227","7440","5883","3976","2740","4420","5616","6360","1479","4349","5480","22279","4693","6410","7666","3828","3445","4741","3514","4698","5466","3518","16766","6142","4650","10858","6080","963","7685","6111","4119","9408","10972","4634","2166","13978","4071","6632","2707"
"hsa-mir-199b","6019","9651","3597","3470","5368","4269","4147","5633","6542","1607","3416","2682","1753","10183","7168","5562","3559","6090","5785","9018","2023","5617","7504","27449","4639","7905","10825","5358","4923","6637","4733","6410","7574","4586","24403","8267","6461","13797","8405","1187","10956","8247","5547","12786","12841","5861","2979","19999","5244","8940","3488"
"hsa-mir-19a","39","130","37","27","25","4","9","115","96","11","14","18","20","99","28","71","20","63","27","100","30","52","102","45","22","89","105","50","119","107","124","256","265","186","308","136","96","117","82","83","245","138","57","142","67","96","124","218","71","123","57"
"hsa-mir-19b-1","90","459","97","76","72","74","49","224","342","82","72","90","63","445","170","141","98","234","94","380","113","312","236","210","82","366","311","320","239","387","193","468","377","549","868","316","224","287","316","194","589","394","114","363","242","331","278","553","227","407","152"
"hsa-mir-19b-2","78","408","63","91","62","73","46","234","291","66","62","84","59","371","102","130","94","196","92","371","103","293","225","205","80","374","273","286","198","353","145","390","360","522","848","343","200","249","277","200","573","356","113","323","209","299","286","483","221","249","131"
"hsa-mir-200a","116","8149","1704","188","20","18","27","4666","7093","544","62","1761","3685","18245","2260","2431","849","5767","90","9108","1368","4657","2370","966","24","3013","17917","2455","6006","5227","9137","26103","12506","8446","13971","11062","6124","3174","4594","24499","12294","10097","5721","10121","4856","14007","10091","6528","6085","6696","2013"
"hsa-mir-200b","94","6377","2795","200","16","17","40","4820","6045","890","47","2286","3597","19311","1319","3244","1064","5888","109","8033","1369","6176","3029","638","28","2610","11303","5478","5605","9291","5421","14533","7305","9366","10931","7942","5154","4285","8565","20090","11607","7365","6534","5489","3703","19435","8620","5563","6944","7262","2440"
"hsa-mir-200c","1067","30545","13873","1074","80","231","460","22142","32210","12168","370","14828","19796","105593","20100","14065","9002","30549","787","36537","11727","36212","29059","3051","130","14812","53395","78752","29392","47134","5884","23325","24518","46843","37021","25171","34487","26793","48988","59110","39047","45128","14385","61496","16356","68425","36974","18672","68159","54506","14364"
"hsa-mir-202","0","10","8","4","0","2","0","2","5","3","1","1","1","24","4","3","8","2","0","38","1","4","0","6","2","31","8","2","0","0","0","0","1","3","14","2","2","0","9","0","4","1","2","6","10","0","1","2","0","1","8"
"hsa-mir-203a","308","22881","170698","1193","111","204","9910","11613","36723","259583","391","6800","11295","141600","750690","7348","3915","20651","380","22334","417321","18814","1117365","7538","252","24015","62365","16016","24809","35736","5229","73117","86874","34853","22945","73614","78184","13024","25566","6938","57822","162599","51683","5347","13213","58714","58535","14334","17572","92646","10849"
