"","TCGA-DD-A3A1-11A-11R-A214-13","TCGA-EP-A12J-11A-11R-A130-13","TCGA-DD-A39V-11A-11R-A214-13","TCGA-DD-A11A-11A-11R-A130-13","TCGA-DD-A11C-11A-11R-A130-13","TCGA-DD-A116-11A-12R-A25G-13","TCGA-DD-A3A3-11A-11R-A22J-13","TCGA-BC-A10T-11A-11R-A130-13","TCGA-BC-A10W-11A-11R-A130-13","TCGA-DD-A119-11A-11R-A130-13","TCGA-BC-A10Y-11A-11R-A130-13","TCGA-DD-A11B-11A-11R-A130-13","TCGA-DD-A1EG-11A-11R-A214-13","TCGA-DD-A3A8-11A-11R-A22J-13","TCGA-DD-A3A4-11A-11R-A22J-13","TCGA-EP-A26S-11A-12R-A16S-13","TCGA-ES-A2HT-11A-11R-A17X-13","TCGA-FV-A2QR-11A-11R-A214-13","TCGA-DD-A1EL-11A-11R-A154-13","TCGA-DD-A1EH-11A-11R-A130-13","TCGA-BC-A10U-11A-11R-A130-13","TCGA-DD-A114-11A-12R-A130-13","TCGA-DD-A1EE-11A-11R-A130-13","TCGA-G3-A3CH-11A-11R-A22J-13","TCGA-DD-A1EI-11A-11R-A130-13","TCGA-BD-A2L6-11A-21R-A214-13","TCGA-EP-A3RK-11A-11R-A22J-13","TCGA-W5-AA2Q-11A-11R-A41D-13","TCGA-W5-AA2I-11A-11R-A41D-13","TCGA-ZU-A8S4-11A-11R-A41D-13","TCGA-W5-AA31-11A-11R-A41D-13","TCGA-W5-AA30-11A-11R-A41D-13","TCGA-EP-A12J-01A-11R-A130-13","TCGA-EP-A3RK-01A-11R-A22J-13","TCGA-DD-A1EH-01A-11R-A130-13","TCGA-DD-A3A8-01A-11R-A22J-13","TCGA-DD-A3A4-01A-11R-A22J-13","TCGA-EP-A26S-01A-11R-A16S-13","TCGA-DD-A114-01A-11R-A130-13","TCGA-DD-A119-01A-11R-A130-13","TCGA-BC-A10W-01A-11R-A130-13","TCGA-DD-A1EG-01A-11R-A214-13","TCGA-DD-A3A3-01A-11R-A22J-13","TCGA-DD-A11B-01A-11R-A130-13","TCGA-DD-A116-01A-11R-A130-13","TCGA-DD-A11A-01A-11R-A130-13","TCGA-BC-A10Y-01A-11R-A130-13","TCGA-BC-A10T-01A-11R-A130-13","TCGA-BD-A2L6-01A-11R-A214-13","TCGA-DD-A39V-01A-11R-A214-13","TCGA-DD-A3A1-01A-11R-A214-13","TCGA-FV-A2QR-01A-11R-A214-13","TCGA-DD-A1EE-01A-11R-A130-13","TCGA-G3-A3CH-01A-11R-A22J-13","TCGA-ES-A2HT-01A-12R-A17X-13","TCGA-DD-A1EL-01A-11R-A154-13","TCGA-DD-A11C-01A-11R-A130-13","TCGA-BC-A10U-01A-11R-A130-13","TCGA-DD-A1EI-01A-11R-A130-13","TCGA-ZU-A8S4-01A-11R-A41D-13","TCGA-W5-AA2Q-01A-11R-A41D-13","TCGA-W5-AA30-01A-31R-A41D-13","TCGA-W5-AA31-01A-11R-A41D-13","TCGA-W5-AA2I-01A-32R-A41D-13"
"hsa-let-7a-1","35948","147122","52614","52163","26512","30694","63074","120626","74608","55836","83931","92007","38931","31874","34438","80415","35812","84281","94321","83238","77183","95863","88551","47155","55294","64376","47084","54934","12405","60681","21614","36395","110323","12755","191442","16587","13348","113732","244151","47435","74823","71818","29487","124631","55001","66273","73262","71002","34878","45984","26687","50203","72481","52762","20198","26590","18159","51839","56135","42565","48532","25152","28154","74316"
"hsa-let-7a-2","35696","146790","52298","51842","26506","30716","62012","120348","74229","55764","83882","91550","38797","32110","34310","80384","35757","84181","94192","83203","76656","96143","88007","47359","54759","63876","46299","54941","12194","60679","21763","36235","110217","12596","191969","16346","13413","113368","242502","47494","74216","71459","29651","124247","55159","65969","73678","70929","35235","45739","26495","50612","72592","52603","20130","26467","18385","51904","56097","43035","48780","25362","28408","74013"
"hsa-let-7a-3","35983","146711","52504","51775","26454","31379","62988","120411","74307","55526","84115","92334","38945","31735","34278","80270","35747","84221","93876","83213","76809","95795","89319","46925","55339","63987","46787","54911","12340","60652","21726","36445","110372","12723","192254","16661","13321","113505","244734","47742","75025","71388","29914","123967","55163","66003","73492","71046","35222","45711","26832","50762","72445","53172","20214","26451","17988","52222","56822","42720","49024","25660","28390","74240"
"hsa-let-7b","50584","200259","40118","76100","29749","24528","91917","111924","49969","62504","99762","78889","42607","21920","41673","73029","45451","81571","52558","83801","87761","143357","72647","47808","42361","77367","56919","79807","20491","77498","30697","61197","74832","10496","159411","9203","5760","37411","286890","54801","85169","47901","13424","114136","34532","51844","15104","43487","56412","27951","12188","40458","27080","69877","34568","5642","8836","20824","65447","90698","191820","37325","36309","129869"
"hsa-let-7c","20888","52579","20905","29599","15154","12705","32056","60654","22271","29523","40062","32039","20364","15745","11598","39565","10163","28813","32161","42594","37402","38550","36822","18000","19417","31684","24254","33199","9087","39648","15855","26703","64411","1633","11607","13770","4962","26770","65615","8594","2462","11716","445","37963","12042","13621","9258","24645","7342","8957","5372","14551","10205","11689","4630","3683","2365","8551","15804","5644","5145","4022","4387","8765"
"hsa-let-7d","2390","4528","2554","2584","1282","944","3806","3276","2276","2229","2599","2706","2076","1917","1716","2271","1183","3698","1884","2908","2554","3857","2856","1970","1778","3009","1689","2057","892","2588","1590","2713","2289","843","7246","982","889","3234","8062","2457","4272","3310","1497","2965","1890","1989","530","1235","2941","3189","3082","3571","2540","3002","728","975","331","1102","4245","1652","2817","1945","2208","2461"
"hsa-let-7e","2804","7388","3370","3034","1281","2179","4554","6549","4408","2629","5217","5225","2141","1876","3040","4840","3302","8398","6603","4921","4759","5876","4410","3135","2424","6081","2966","3188","838","3527","1042","2284","2285","1222","8103","638","767","5544","19230","4727","3168","5338","2981","2743","5275","2643","2657","6265","2230","3218","520","3983","2068","5682","1924","3938","931","1840","5768","3977","3352","3241","8950","10448"
"hsa-let-7f-1","14488","73780","27841","24156","15619","16051","22580","82483","57193","33873","38135","59301","13590","13787","14170","60272","16564","36439","93875","49532","49891","62466","65760","23446","38722","20410","18792","18978","4172","25283","7543","11060","69560","5505","156434","5278","9857","103554","190667","28578","54479","33374","22464","87933","45324","53974","16118","40280","9899","22948","21281","27460","69943","17186","8993","35017","5498","66534","40615","10585","8771","7871","14142","26875"
"hsa-let-7f-2","14879","73386","28441","25047","15641","16985","23007","83750","57958","34595","39134","60341","13811","14117","14962","62641","16674","37244","96078","50210","50890","62616","66742","23857","39339","21020","19332","19844","4223","25815","7727","11587","70491","5641","158877","5497","9898","107736","194522","28812","56148","33941","23345","88721","46397","54904","16185","40727","10039","24295","21813","28349","71499","17490","9236","36939","5584","68253","41120","10566","8871","8102","14645","27726"
"hsa-let-7g","4796","8710","4418","4998","2937","2708","6171","9813","5767","4972","7073","7795","3579","3266","3066","9020","2353","6620","8179","8230","7580","7985","7339","4279","4361","4024","3974","4050","1570","4269","2362","4118","4902","1291","7974","1155","1692","10887","12840","3147","4929","5283","2930","6022","6514","5267","1115","4114","2477","3291","4777","5618","3845","4598","1307","2850","729","5045","3820","2195","3312","2459","2058","4258"
"hsa-let-7i","1602","2948","1288","1576","757","847","2389","1986","1485","1299","1566","1739","1302","830","1233","1586","946","3389","1240","1836","1738","2691","1968","1459","793","2333","1204","1355","406","1492","696","1258","954","986","2431","345","516","1397","6859","1341","1320","2379","836","1571","1263","696","492","1406","889","1556","859","2258","830","2003","760","444","411","1125","1987","2051","918","1153","1293","5007"
"hsa-mir-1-1","20","52","10","23","7","3","49","29","8","8","59","103","42","5","4","22","21","48","36","30","43","31","45","26","28","17","19","18","5","21","9","50","3","3","11","0","48","7","233","40","16","19","11","5","12","143","15","81","12","12","1","17","2","24","6","2","9","5","53","8","21","45","30","40"
"hsa-mir-1-2","19","51","20","36","7","2","28","29","9","13","48","100","35","7","8","28","26","46","46","40","39","26","49","31","29","18","48","17","3","21","13","45","8","4","23","0","44","17","249","52","14","19","5","10","17","136","4","89","9","9","0","20","3","34","2","5","16","13","56","18","23","63","25","46"
"hsa-mir-100","29643","128174","43742","24149","16634","32612","33693","43916","29623","35359","42719","85170","58967","59871","11589","24876","33404","85868","38588","51679","52070","63718","53832","40787","31379","56020","47230","64415","23571","70963","35866","34769","46319","7485","42237","37782","9907","137050","134914","23747","1442","29081","1120","142364","29540","12761","31658","68323","22981","20579","5760","31112","58335","54655","11271","430","18519","18796","28167","59811","26140","20455","11968","59815"
"hsa-mir-101-1","82430","180286","136195","92724","71075","88768","230902","220062","59470","71927","144886","130343","184771","120247","83924","115205","56349","157407","60673","182975","145928","122476","106636","125398","75001","55350","181144","179851","41944","161969","75955","130189","111200","24353","57149","40892","80302","70123","73058","34508","33793","81848","31491","67009","36768","51014","47240","41785","23800","58581","38744","73041","33597","96168","17664","4283","60815","28609","42903","17152","22449","17795","18483","33096"
"hsa-mir-101-2","83587","181126","137376","93768","71839","90769","232502","221331","60776","72858","145558","131185","185733","121874","84681","115795","56644","159000","61806","183832","146230","122531","108132","126623","76077","56534","182236","181706","42133","164513","77097","131839","110911","24450","58440","41343","80038","71604","74070","34921","33794","83486","31698","68224","36661","51284","47959","42350","24127","59119","38932","73689","33975","97860","17788","4474","61923","28614","43492","17344","22486","18069","18362","33950"
"hsa-mir-103a-1","39569","36888","62612","44962","16624","42378","46869","36984","31319","29901","41674","29964","60628","46865","31271","37021","20905","86787","30034","48900","40280","31569","40044","40564","20787","95082","47919","54052","16871","57966","31997","38135","43328","26145","115684","47262","7986","27336","121218","89069","31821","95252","56655","52773","26442","37415","71855","57655","38115","64628","44815","73548","51339","58643","15465","35957","28511","38788","82781","28363","18735","30888","37352","88242"
"hsa-mir-103a-2","39984","37244","62311","45659","16545","42185","47108","36863","31326","29860","42307","30057","60615","46587","31407","37576","20987","86764","30206","49300","40293","31858","40096","40915","21121","95614","48299","54019","16755","58382","32341","38538","43984","26205","115298","47419","8126","27486","121782","89830","32101","95028","56560","52793","26738","37702","72696","57623","37974","65361","44882","73737","51373","60010","15594","35772","28731","38727","83279","28535","18750","30682","36949","88695"
"hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-105-1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10","1","0","0","0","1","0","0","210","0","0","0","10","236","183","329","148","11","434","1","0","0","290","254","32","0","0","0","0","0","1"
"hsa-mir-105-2","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","3","2","0","0","1","1","0","185","1","1","0","9","227","168","314","129","9","441","0","0","0","307","235","32","0","0","0","0","0","0"
"hsa-mir-106a","64","65","61","42","24","29","111","67","44","29","29","47","65","43","43","53","17","107","32","57","64","54","22","34","51","99","60","24","10","28","11","21","7","26","39","8","17","22","200","30","104","107","73","24","11","34","29","8","50","45","66","34","17","41","10","24","24","7","35","7","15","44","31","95"
"hsa-mir-106b","1805","3071","2025","1897","923","1099","2950","2670","1748","1290","1785","2296","2126","1470","1193","1724","1310","3644","1229","2236","2365","3509","1742","2147","1436","2763","1688","1743","535","1710","1037","1301","1783","1154","3961","618","484","1686","6133","2108","2827","4416","2453","2616","2082","3111","1868","1751","2961","2954","2256","3388","1830","4305","595","492","1524","2410","4294","1493","1352","2159","1474","6872"
"hsa-mir-107","518","1478","758","607","354","427","688","780","432","424","534","699","739","611","349","466","472","852","321","753","717","1271","674","654","403","907","640","597","207","756","388","392","1665","253","681","667","184","415","868","734","419","1255","785","591","755","627","978","472","413","721","506","903","511","1433","375","205","268","340","470","217","176","203","263","852"
"hsa-mir-10a","169591","373846","113612","144668","54888","74653","371043","249150","84712","91303","306782","329300","147045","69305","134087","115318","90319","323325","154124","233533","174002","145634","183136","114019","99239","272546","123640","146680","50272","116163","60029","174726","48151","26014","126576","17090","13443","54280","623159","141775","35128","90826","10925","40206","61377","40136","51172","187312","43749","47823","5385","67226","23410","104499","34692","11965","16694","8440","190916","74835","112550","254858","44358","192465"
"hsa-mir-10b","24348","27888","4797","6363","1861","7195","25778","3307","3255","2664","13277","21620","10418","3039","4619","11605","7997","40190","2288","7402","9275","10213","11410","6307","23306","11728","9647","17152","1281","5778","4015","20451","127087","77081","921241","102663","23422","457356","122511","35859","55115","34474","68939","167725","38002","395042","486832","24602","72064","364684","42310","53152","136645","95850","10404","171709","160224","83167","27003","39794","41251","110795","6466","10020"
"hsa-mir-1178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1179","0","0","0","0","0","1","0","2","0","2","1","1","1","1","0","1","0","1","0","3","0","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","1","2","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","2","2"
"hsa-mir-1180","56","124","58","45","7","20","56","50","81","32","52","45","39","52","39","23","46","84","36","50","38","132","68","51","24","65","34","28","13","61","38","29","52","93","198","34","15","26","167","150","309","98","491","157","111","127","133","23","40","169","133","53","47","85","37","44","20","110","252","59","43","92","52","328"
"hsa-mir-1181","0","2","0","2","0","0","2","1","0","0","3","3","3","0","2","3","1","2","0","2","0","6","2","0","1","4","0","0","0","0","0","0","0","5","0","0","0","1","1","0","0","2","0","1","2","1","2","0","0","0","0","2","1","0","1","0","0","0","1","0","0","1","0","1"
"hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-1","2","0","0","3","2","0","2","3","8","4","1","0","0","0","0","0","1","9","1","3","3","1","1","0","0","2","0","2","0","1","0","1","0","0","11","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","1","1","1","0","2","12","5"
"hsa-mir-1185-2","0","0","1","0","2","2","2","0","0","1","1","2","1","1","2","0","1","0","0","1","0","3","1","1","0","1","1","0","0","0","0","1","0","0","4","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","2","2"
"hsa-mir-1193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"hsa-mir-1197","0","3","0","1","1","0","5","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","0","1","0","0","1","0","0","0","0","8","0","0","1","1","0","3","0","1","0","0","0","3","0","1","1","1","1","0","0","0","0","0","2","1","0","0","0","7","0"
"hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-122","221303","263553","202641","175774","110854","129007","197049","321885","203203","199613","174446","217564","159499","164820","83305","204993","76225","202038","169466","322273","252758","203220","258891","198093","168975","173206","215583","177471","91735","221767","186404","230816","158675","59565","51181","102606","91278","283659","11196","87019","62126","111075","150460","71428","231673","84368","46209","58456","127422","117749","182961","179424","76782","251235","79760","57841","81035","98812","80714","1388","98","3031","18842","2373"
"hsa-mir-1224","1","8","0","8","2","0","2","2","0","0","0","1","0","0","2","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1","1","0","2","1","3","0","0","1","0","7","3","1","0","1","3","1","4","0","0","4","0","0","2","2","1","0","0","0","6","0","20","1","9","1"
"hsa-mir-1225","0","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-1226","2","3","4","1","0","1","4","7","0","3","2","2","3","2","1","4","4","11","1","4","2","2","2","2","5","5","3","1","0","0","0","1","0","2","16","1","1","2","5","20","6","14","8","2","3","2","7","0","1","6","3","0","1","6","4","2","1","0","31","1","1","2","2","6"
"hsa-mir-1227","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","0","0"
"hsa-mir-1228","21","41","28","31","11","5","16","12","7","14","12","23","12","18","12","3","11","32","4","19","14","40","18","10","12","3","11","10","10","13","4","12","16","6","13","1","5","0","26","17","10","24","18","9","13","9","8","8","7","14","10","19","12","10","6","2","3","15","41","7","2","2","4","6"
"hsa-mir-1229","1","6","1","1","1","2","0","1","4","3","1","0","1","1","2","0","0","2","4","1","0","7","0","0","1","1","2","2","1","1","3","0","2","0","4","0","0","1","1","8","0","2","10","1","1","1","2","1","3","2","3","10","6","3","1","1","0","2","6","0","0","1","3","3"
"hsa-mir-1231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1234","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","1","2","0","0","2","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1236","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-1237","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","4","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-1238","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-124-1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-124-2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0"
"hsa-mir-124-3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1244-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1245a","3","4","1","5","1","2","10","9","1","0","10","3","2","2","2","7","5","9","3","1","5","2","0","1","4","6","3","3","3","2","3","4","0","4","2","0","0","4","39","10","3","3","0","0","1","0","0","8","1","0","0","3","2","6","4","0","0","0","2","2","2","3","3","12"
"hsa-mir-1245b","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"hsa-mir-1246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"hsa-mir-1247","497","185","58","506","17","38","1647","572","31","35","558","157","305","54","193","584","79","314","27","288","363","14","253","30","29","298","108","93","18","43","12","120","22","4","645","0","0","1","1121","321","5","20","46","4","462","5","1","50","3","11","1","11","106","481","92","2","3","19","74","191","15","88","2524","35"
"hsa-mir-1248","12","16","5","18","10","2","3","25","12","11","18","24","5","0","4","19","3","11","8","22","23","31","13","7","5","21","11","2","2","4","3","2","6","4","4","1","2","7","5","7","7","2","5","0","16","6","2","12","4","1","19","5","6","3","3","4","1","3","6","2","2","3","7","5"
"hsa-mir-1249","10","14","14","20","16","10","17","11","6","5","6","14","11","5","2","3","3","28","5","12","19","12","11","18","6","15","7","8","2","6","8","7","4","12","10","2","1","1","24","10","9","12","4","2","14","17","4","8","6","9","11","25","3","9","2","2","1","10","23","10","11","3","5","12"
"hsa-mir-1250","0","0","0","1","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","3","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","5","1","1","0","0","0","2","0","0","0","1","5","0","0","0","0","0","0","2","0","1","3"
"hsa-mir-1251","0","4","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","1","3","1","2","83","5","10","0","0","0","6","1","10","1","6","22","2","6","1","0","0","114","5","1","0","0","4","21","0","0","0","5","0","6","0","1"
