"","TCGA-DD-A1EC-11A-11R-A130-13","TCGA-DD-A118-11A-11R-A130-13","TCGA-BC-A10R-11A-11R-A130-13","TCGA-BD-A3EP-11A-12R-A22J-13","TCGA-FV-A23B-11A-11R-A16S-13","TCGA-DD-A3A6-11A-11R-A22J-13","TCGA-BC-A10X-11A-11R-A130-13","TCGA-DD-A3A2-11A-11R-A214-13","TCGA-DD-A39Z-11A-21R-A214-13","TCGA-FV-A3I0-11A-11R-A22J-13","TCGA-BC-A10Z-11A-11R-A130-13","TCGA-DD-A113-11A-12R-A130-13","TCGA-DD-A1EJ-11A-11R-A154-13","TCGA-DD-A3A5-11A-11R-A22J-13","TCGA-DD-A1EB-11A-11R-A130-13","TCGA-DD-A39W-11A-11R-A214-13","TCGA-BC-A10Q-11A-11R-A130-13","TCGA-FV-A3I1-11A-11R-A22J-13","TCGA-DD-A39X-11A-11R-A214-13","TCGA-BC-A216-11A-11R-A154-13","TCGA-BC-A110-11A-11R-A130-13","TCGA-DD-A11D-11A-12R-A130-13","TCGA-W5-AA34-11A-11R-A41D-13","TCGA-W5-AA2U-11A-11R-A41D-13","TCGA-W5-AA2R-11A-11R-A41D-13","TCGA-FV-A3I0-01A-11R-A22J-13","TCGA-BC-A216-01A-11R-A154-13","TCGA-FV-A3I1-01A-11R-A22J-13","TCGA-DD-A39Z-01A-11R-A214-13","TCGA-DD-A1EJ-01A-11R-A154-13","TCGA-DD-A3A2-01A-11R-A214-13","TCGA-DD-A113-01A-11R-A130-13","TCGA-BD-A3EP-01A-11R-A22J-13","TCGA-DD-A11D-01A-11R-A130-13","TCGA-BC-A110-01A-11R-A130-13","TCGA-DD-A118-01A-11R-A130-13","TCGA-FV-A23B-01A-11R-A16S-13","TCGA-DD-A39X-01A-11R-A214-13","TCGA-DD-A3A6-01A-11R-A22J-13","TCGA-BC-A10Z-01A-11R-A130-13","TCGA-DD-A1EC-01A-21R-A130-13","TCGA-BC-A10R-01A-11R-A130-13","TCGA-DD-A3A5-01A-11R-A22J-13","TCGA-DD-A39W-01A-11R-A214-13","TCGA-BC-A10Q-01A-11R-A130-13","TCGA-BC-A10X-01A-11R-A130-13","TCGA-DD-A1EB-01A-11R-A130-13","TCGA-W5-AA34-01A-11R-A41D-13","TCGA-W5-AA2R-01A-11R-A41D-13","TCGA-W5-AA2U-01A-11R-A41D-13"
"hsa-let-7a-1","100036","123155","58291","20252","118185","25796","68803","28422","56881","51346","76169","47638","121820","20868","115854","41585","53207","30775","38527","146135","78650","57114","17167","24974","37773","68731","63342","36909","60656","48252","10481","38182","29328","106221","221297","86883","29830","25307","76751","25077","52199","137303","40534","68315","67766","75118","84207","30747","32264","27912"
"hsa-let-7a-2","99931","122989","58202","20294","117792","25661","68655","28642","56741","51405","76116","47357","121939","20697","115834","41460","52968","30698","38653","146102","78030","56394","17271","24958","37644","68386","62916","36568","60617","47958","10356","38119","29434","105151","220996","86500","30108","24965","76403","24947","52246","136584","40871","68658","68238","75366","84530","30630","32010","27766"
"hsa-let-7a-3","100100","122917","58451","20582","118548","25500","68962","28473","57444","51547","76334","47157","122897","20656","115545","42206","53488","30646","39191","146048","78891","57002","17378","24917","37702","68765","63469","36896","60629","48281","10441","37968","29304","105668","221567","86297","30534","25459","76851","24902","51981","136841","40571","68694","68193","76125","84934","30982","32256","28114"
"hsa-let-7b","136262","69864","74474","27044","92063","43693","59249","40913","52391","51764","69418","37156","69532","25029","125274","49257","52006","45480","34212","89810","80560","55244","26624","41479","53684","86985","39887","39737","32048","11232","11752","29534","15778","123315","236012","60392","17462","35057","42978","5349","36663","260318","30439","42721","30121","99755","35027","40639","42621","33796"
"hsa-let-7c","59006","53468","34462","13034","38018","20132","32145","19510","28000","30760","26953","21254","38072","13448","71393","20935","27860","20750","23785","56562","49625","25869","13206","22211","29236","5825","9084","13036","12991","1105","7206","8155","3963","16956","85801","4902","4865","9315","57249","1087","5055","14893","26370","1474","2619","35140","31666","5213","6092","5058"
"hsa-let-7d","5089","2438","2573","1275","3168","1639","2459","1891","2729","1880","2132","1242","2672","1178","4009","2173","2380","2013","1944","2993","3031","2531","1777","1387","2282","4226","4603","1315","3956","5861","1204","1613","1838","2157","4599","3374","2601","1944","6041","452","3147","2810","677","4708","4277","2845","5150","1602","1936","2768"
"hsa-let-7e","7330","5362","2189","1283","9848","1136","4217","2372","4112","2930","5328","1976","11172","1271","6015","2664","2669","2072","2703","11238","3560","2744","1038","1365","1593","14356","2247","3244","2526","4900","492","3961","3557","5002","19371","5550","1304","4357","14998","724","2005","15868","4367","20579","19444","6715","4600","6958","2563","6990"
"hsa-let-7f-1","53708","87106","27020","7237","84238","8188","58805","9513","25934","24416","49659","32113","120223","7928","70533","19263","30679","10178","17532","144651","44570","38981","6219","8317","14183","42460","54606","10804","40148","98165","3928","30407","15684","52031","149299","71784","26461","9119","59287","9066","59166","79808","9245","45669","64344","34508","80482","16444","11357","10546"
"hsa-let-7f-2","54089","89686","27556","7559","86009","8423","59792","9858","26327","25097","50645","32954","123415","8351","71407","19794","31605","10652","18433","147843","45448","39326","6509","8461","14689","42479","57220","10654","41322","99580","4029","30966","15787","52591","150852","72616","26939","9183","60006","9441","59387","81362","9506","45973","65592","34966","81354","17450","12006","10553"
"hsa-let-7g","11263","8784","4721","2171","10212","2407","6686","2634","3394","4754","6094","4047","11593","1897","9978","3873","4857","3365","3591","12033","8334","6037","2215","2649","3218","5427","9162","2295","5454","12154","813","2469","3311","6932","10805","2760","3753","2702","6109","1300","4648","6991","1454","7641","6301","5032","7640","2071","2540","2879"
"hsa-let-7i","3197","1778","1334","786","2693","746","1847","951","1488","1226","1663","662","1736","557","2380","1627","1139","1235","1093","1958","1874","1766","629","882","1056","6787","1718","1502","940","1493","337","948","1739","1674","5194","1736","941","812","9450","287","3265","2231","886","2431","4269","2040","1519","1191","1709","2407"
"hsa-mir-1-1","57","24","4","5","48","16","47","15","12","1","34","22","70","3","24","16","11","38","15","42","6","9","11","9","15","53","11","15","6","1","1","4","34","13","253","12","2","27","141","4","9","56","27","3","27","47","12","14","14","25"
"hsa-mir-1-2","54","24","6","10","63","16","58","17","26","5","27","24","52","7","16","21","9","27","20","35","10","11","7","14","19","71","3","21","2","3","3","6","39","17","230","13","2","13","102","2","6","49","36","3","41","54","10","11","12","23"
"hsa-mir-100","49142","68520","42445","20812","78041","40253","26976","37374","32232","55532","35235","25453","18838","25998","81111","35268","40683","34229","31763","50076","51889","31864","38788","28599","69038","42547","409","31128","26001","6294","31294","12069","22895","37820","127819","17799","28953","16169","168462","4920","5038","15048","151843","64743","19605","53035","139294","3521","58654","37327"
"hsa-mir-101-1","209183","194575","121404","75085","120628","97105","92853","103740","84000","211607","112079","63347","107655","80423","233181","122499","131094","166597","163797","119803","231040","81858","75410","110762","155805","50124","25372","37658","70472","29076","17712","16775","29420","71920","156823","24387","33663","20424","67103","43778","35455","66560","130324","118654","36751","71430","138612","44569","43449","33011"
"hsa-mir-101-2","210385","196335","122287","76574","121546","98437","94258","105856","85600","212830","112616","64814","108643","81528","234396","124037","131135","167354","165153","120732","231387","82461","76178","113584","157510","50696","25961","37793","71292","29751","17939","16746","29606","72534","158630","24626","33937","20346","67719","44850","36010","66472","131930","120033","37164","72506","140052","45077","43780","33560"
"hsa-mir-103a-1","70146","55406","35667","32237","56473","25400","38581","43565","69279","49057","21978","20124","40876","26621","58874","57494","28585","42281","50108","50177","44386","28642","35522","28847","42621","68897","25432","56666","52152","29602","16571","54866","106145","26748","105439","87191","51012","24070","110435","67954","45857","36118","42539","90632","80123","41649","32364","26727","24635","36027"
"hsa-mir-103a-2","70262","55440","35552","31824","56314","25258","38767","43969","69174","49014","21997","20456","41206","26635","59124","57979","28778","42511","50173","50500","44609","29245","35653","28618","42725","69284","25390","56506","51846","29111","16528","54761","105695","26736","104854","87494","51060","24121","111062","67849","45993","36365","42696","90345","80093","41614","32355","26852","24483","35993"
"hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-105-1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2","0","0","0","0","0","1","3","172","0","313","0","0","363","19","52","0","69","1","0","231","0","169","84","1","0","0","0","0","0","1"
"hsa-mir-105-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","3","153","0","277","0","0","378","14","44","1","95","0","0","186","0","175","98","0","0","0","0","1","0","4"
"hsa-mir-106a","98","50","38","35","40","23","37","58","93","79","51","22","45","34","53","83","51","51","52","27","67","47","12","20","13","93","83","67","65","102","4","35","72","33","34","25","34","53","245","22","20","32","40","202","29","64","21","26","15","61"
"hsa-mir-106b","3039","1888","1570","856","2054","1177","1809","1180","2153","1994","1878","1084","1717","951","2700","2039","2175","1475","1364","1790","2373","1845","974","679","1305","5445","5049","3281","3011","3704","1081","1854","3348","2752","4060","2660","1632","1078","3152","3248","2256","2659","3865","5043","4832","2087","2705","2036","1302","2629"
"hsa-mir-107","1063","721","652","365","608","337","544","368","814","813","346","324","505","318","1065","658","560","481","462","579","773","743","379","261","444","757","324","879","705","343","230","541","706","669","995","758","297","524","2843","887","559","659","1126","1197","590","567","812","268","223","466"
"hsa-mir-10a","330573","172321","131505","70440","308035","78566","131518","125906","129589","81367","206567","58912","183500","54499","227057","106558","95000","131419","126210","218947","160101","84514","75724","124349","116746","441374","25374","63746","57824","10239","9832","25284","71181","63235","487574","77164","83697","66051","213945","13340","60983","151172","47976","53601","129672","238007","67247","27889","114367","141952"
"hsa-mir-10b","17670","14776","1790","4686","104837","5207","7112","11050","8968","1875","11264","4359","19553","2582","5238","4409","3548","7883","2370","3823","3816","4997","1463","2933","3893","5691","110211","14801","110218","33546","2044","105658","143722","215230","64035","399144","214426","32180","148902","179955","213095","68284","6093","261957","17115","18791","101372","10420","65147","26829"
"hsa-mir-1178","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1179","3","0","2","0","2","0","0","0","2","0","0","4","1","0","1","1","0","0","1","1","2","2","1","0","0","1","0","1","0","0","0","0","1","0","2","0","0","0","3","0","1","0","0","2","0","0","0","0","1","1"
"hsa-mir-1180","80","37","41","28","36","37","51","30","78","42","17","35","51","33","51","34","31","35","32","44","39","53","37","25","56","194","133","244","84","267","113","144","128","76","99","116","34","164","242","84","77","37","243","408","293","78","87","97","42","109"
"hsa-mir-1181","4","0","1","2","1","0","0","0","1","1","2","0","1","0","3","3","2","1","1","0","1","2","2","2","2","0","0","0","0","0","0","0","2","0","0","2","1","0","1","0","0","3","0","1","3","3","2","0","2","0"
"hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-1","7","1","1","2","1","0","1","2","2","0","2","2","3","0","3","3","1","2","1","3","3","3","1","1","0","9","1","0","0","3","0","1","1","0","3","1","6","2","0","0","0","5","1","12","1","5","3","0","0","0"
"hsa-mir-1185-2","7","1","3","1","2","2","3","1","2","1","1","0","1","1","4","0","0","0","1","1","2","3","1","0","0","5","0","0","0","2","0","0","2","2","4","0","0","0","0","0","0","1","0","4","1","2","0","2","0","0"
"hsa-mir-1193","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1197","12","1","0","0","0","1","0","2","1","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","2","3","0","0","3","0","0","0","0","0","0","5","0","0","0","3","0","0","7","0","1","0","2","0","0"
"hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"hsa-mir-1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-122","263292","307885","213430","123323","169091","201669","196546","172593","234394","229031","114451","134538","185774","132949","369343","272920","239876","208210","369808","207557","275321","201556","128120","118277","203838","389","84734","99676","279381","122206","87733","65792","70416","258903","144748","47165","99129","161903","265","65619","54799","41509","108587","579798","387","127966","365407","81","19179","5144"
"hsa-mir-1224","1","0","2","0","0","2","1","1","0","1","1","0","1","0","1","1","0","0","0","3","1","4","0","0","0","3","0","0","5","0","0","3","0","6","1","9","1","1","0","0","1","1","2","4","6","1","0","8","0","3"
"hsa-mir-1225","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0"
"hsa-mir-1226","8","0","3","0","2","4","4","3","4","3","3","1","2","3","2","3","1","3","0","6","1","2","4","1","2","8","4","5","6","20","1","5","12","2","4","2","1","6","15","3","7","3","6","7","11","1","2","1","3","3"
"hsa-mir-1227","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1"
"hsa-mir-1228","29","13","22","6","10","7","20","3","19","11","4","15","15","7","25","8","19","17","12","13","16","25","12","4","12","3","7","14","9","48","8","6","5","7","23","5","5","2","13","12","13","7","17","4","10","11","12","2","3","6"
"hsa-mir-1229","3","2","2","1","2","1","1","0","4","3","0","0","2","0","1","1","5","2","1","1","1","4","0","0","1","4","2","12","3","3","1","2","5","3","2","6","0","4","4","2","3","0","8","6","2","1","7","2","1","4"
"hsa-mir-1231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1234","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","1","0","2","0","0","0","1"
"hsa-mir-1236","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1237","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"hsa-mir-1238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","1","0","0","0"
"hsa-mir-124-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0"
"hsa-mir-124-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-124-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0"
"hsa-mir-1243","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","0","1","0","0","0","0","0","1","0","0"
"hsa-mir-1244-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1245a","3","5","3","3","9","2","4","8","6","6","2","1","4","2","3","1","4","3","3","6","3","3","1","0","0","5","0","2","1","1","0","1","1","1","15","5","1","2","10","0","2","5","1","1","10","3","1","1","4","6"
"hsa-mir-1245b","0","0","0","0","0","1","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0"
"hsa-mir-1246","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1247","2612","64","246","74","150","160","77","916","514","106","121","64","236","108","184","219","88","481","523","331","356","19","3","161","16","343","33","33","5","3","4","491","356","7","770","649","219","92","3","2","13","364","12","0","14","149","9","3","83","76"
"hsa-mir-1248","18","11","11","1","13","5","9","3","7","8","43","12","12","5","12","11","16","7","1","8","6","15","2","2","1","33","19","2","2","14","2","3","4","4","3","5","1","2","10","0","17","5","2","5","23","13","5","8","1","5"
"hsa-mir-1249","26","6","5","5","7","3","14","4","14","18","8","10","3","8","10","5","7","8","9","9","11","9","1","2","27","15","12","18","9","13","1","1","8","9","18","3","2","6","25","2","6","17","8","7","20","12","7","12","4","15"
"hsa-mir-1250","1","0","0","1","0","2","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","2","0","0","0","0","0","1","3","0","7","2","0","0","15","0","0","0","0","0"
"hsa-mir-1251","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","8","0","1","0","7","0","1","34","1","0","2","75","0","4","0","0","1","36","1","0","0"
"hsa-mir-1252","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1254-1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","3","0","5","0","0","0","1","0","2","4","0","2","3","0","2","0","1","1","1","1","0"
"hsa-mir-1254-2","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","2","2","1","2","6","0","0","0","0","1","0","3","1","2","0","0","2","0","0","3","0","0","2"
"hsa-mir-1255a","3","3","0","0","3","1","0","1","3","2","3","0","3","2","4","2","4","3","0","7","5","3","0","2","3","6","2","2","2","0","0","0","0","1","5","4","1","0","3","2","5","1","0","0","2","1","0","3","0","2"
"hsa-mir-1255b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1255b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1256","0","1","0","0","3","0","4","1","1","0","0","1","0","0","6","0","0","1","0","0","2","0","2","0","0","0","2","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1258","142","192","167","34","44","64","100","84","112","78","64","48","95","67","139","127","98","125","78","76","174","82","33","56","92","0","16","1","2","12","32","0","2","7","105","4","8","1","0","0","6","0","41","0","0","51","61","0","2","1"
"hsa-mir-125a","4749","2421","1764","1434","5202","2189","2058","2509","3289","2135","2985","1067","2949","1175","3957","2305","1764","2216","1798","2852","2436","1587","1305","2215","2513","10810","701","1559","803","735","391","1261","2025","1518","5479","1762","501","2825","7754","211","599","3728","1690","7328","8115","3753","1203","5752","3172","3699"
"hsa-mir-125b-1","4258","3843","2082","2196","4238","3926","2243","3727","3911","4662","2315","1531","2271","2096","4862","3334","2653","3662","3591","2904","3847","2049","1682","3168","4509","2934","528","1887","1577","132","1297","405","1229","1375","6152","480","672","1295","10304","118","307","924","5608","1374","1202","2760","2953","681","2278","1509"
"hsa-mir-125b-2","4654","4155","2560","2244","4406","4243","2502","3904","4362","4927","2528","1728","2547","2268","5713","3704","2865","3849","3965","3291","4282","2405","1841","3370","4742","2925","635","2080","1795","128","1441","551","1272","1700","6605","517","752","1377","11148","164","365","1074","6225","1319","1229","3073","3506","735","2523","1537"
"hsa-mir-126","134248","55808","35981","18854","53692","18269","53953","34125","30371","37122","53002","19511","62297","16899","64682","42782","39449","39472","38387","58344","69752","36889","17653","30639","25128","20051","61494","25360","30877","16262","6729","8427","32334","46055","40454","18525","34691","27714","78071","6965","10766","27292","28961","46419","18318","50857","76431","7305","16930","20693"
"hsa-mir-1260a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1260b","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1"
"hsa-mir-1261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1262","7","10","5","3","5","0","4","0","6","1","7","4","3","3","6","3","2","3","3","4","2","1","2","3","2","2","2","1","6","0","1","0","0","4","10","2","0","1","7","0","5","1","0","2","2","9","17","3","1","2"
"hsa-mir-1263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1265","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1266","14","11","15","6","6","7","14","6","9","10","5","6","6","5","8","11","2","4","0","9","15","68","15","1","7","135","23","45","13","38","9","55","14","79","25","83","38","10","12","73","94","110","39","10","146","15","53","5","6","43"
"hsa-mir-1267","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1268a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
